±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0032",="0101",="0032",="0032",="1600",="0030",="0101",="0101",="0101",="0101",="0",="0101",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="000",="20080001",="001",="FFFF",="FFFF",="0034",="8888",="0034",="0034",="1601",="0030",="8888",="8888",="8888",="8888",="0",="0101",="8888",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="000",="20080001",="001",="FFFF",="FFFF",="0036",="7659",="0036",="0036",="1602",="0030",="7659",="7659",="7659",="7659",="0",="0101",="8888",="7659",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="000",="20080001",="001",="FFFF",="FFFF",="0038",="ADDB",="0038",="0038",="1603",="0030",="ADDB",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="001",="00069002",="002",="0038",="3080",="0038",="3080",="0000",="0039",="1603",="0030",="ADDB",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="002",="CC000003",="003",="FFFF",="FFFF",="0038",="3080",="3080",="0039",="3080",="0030",="ADDB",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="003",="00000404",="004",="FFFF",="FFFF",="0038",="3080",="0000",="0039",="3080",="0030",="ADDB",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="004",="00000A08",="008",="FFFF",="FFFF",="0038",="3080",="0000",="0039",="3080",="0030",="ADDB",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="008",="50000006",="006",="FFFF",="FFFF",="0038",="3080",="0101",="0039",="3080",="0030",="7659",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
11,="006",="00000A28",="028",="FFFF",="FFFF",="0038",="3080",="0000",="0039",="3080",="0030",="7659",="ADDB",="ADDB",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="028",="54000007",="007",="FFFF",="FFFF",="0038",="3080",="0101",="0039",="3080",="0030",="7659",="0101",="0101",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="007",="00000800",="043",="FFFF",="FFFF",="0038",="3080",="0000",="0039",="3080",="0030",="7659",="0101",="0101",="ADDB",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="043",="98B00E50",="050",="FFFF",="FFFF",="0038",="3080",="7659",="0039",="3080",="0030",="7659",="0101",="775A",="775A",="0",="0101",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="050",="68000280",="000",="FFFF",="FFFF",="0038",="3080",="775A",="0039",="3080",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="000",="20080001",="001",="FFFF",="FFFF",="0039",="3080",="0039",="0039",="3080",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="001",="00069002",="002",="0039",="30C1",="0039",="30C1",="0000",="003A",="3080",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="002",="CC000003",="003",="FFFF",="FFFF",="0039",="30C1",="30C1",="003A",="30C1",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="003",="00000404",="004",="FFFF",="FFFF",="0039",="30C1",="0000",="003A",="30C1",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="004",="00000A08",="008",="FFFF",="FFFF",="0039",="30C1",="0000",="003A",="30C1",="0030",="7659",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="008",="50000006",="006",="FFFF",="FFFF",="0039",="30C1",="8888",="003A",="30C1",="0030",="ADDB",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="006",="00000A28",="028",="FFFF",="FFFF",="0039",="30C1",="0000",="003A",="30C1",="0030",="ADDB",="0101",="0101",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="028",="54000007",="007",="FFFF",="FFFF",="0039",="30C1",="8888",="003A",="30C1",="0030",="ADDB",="8888",="8888",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="007",="00000800",="043",="FFFF",="FFFF",="0039",="30C1",="0000",="003A",="30C1",="0030",="ADDB",="8888",="8888",="775A",="0",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="043",="98B00E50",="050",="FFFF",="FFFF",="0039",="30C1",="ADDB",="003A",="30C1",="0030",="ADDB",="8888",="3664",="3663",="3",="775A",="8888",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="050",="68000280",="000",="FFFF",="FFFF",="0039",="30C1",="3663",="003A",="30C1",="0030",="ADDB",="8888",="8888",="3663",="3",="775A",="3663",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="000",="20080001",="001",="FFFF",="FFFF",="003A",="30C1",="003A",="003A",="30C1",="0030",="ADDB",="8888",="8888",="3663",="3",="775A",="3663",="7659",="ADDB",="0000",="0000",="0000",="0000",="0",="0",="00",="00"