±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0032",="0123",="0032",="0032",="1600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="001",="00069002",="002",="0032",="0600",="0032",="0600",="0000",="0033",="1600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="002",="CC000003",="003",="FFFF",="FFFF",="0032",="0600",="0600",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="003",="00000404",="006",="FFFF",="FFFF",="0032",="0600",="0000",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="006",="00000A28",="028",="FFFF",="FFFF",="0032",="0600",="0000",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="028",="54000007",="007",="FFFF",="FFFF",="0032",="0600",="0123",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="007",="00000800",="078",="FFFF",="FFFF",="0032",="0600",="0000",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="078",="0030009B",="09B",="FFFF",="FFFF",="0032",="0600",="0000",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="09B",="6003009C",="09C",="FFFF",="FFFF",="0032",="0123",="0123",="0033",="0600",="0030",="0123",="0123",="0123",="0123",="0",="0123",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
